"Reflector/TG Number","Name/Description","DMR2NXDN TG #"
"26235","DL2OAM","7026235"
"26269","URF269","7026269"
"26275","DE-RAMSES-NXDN","7026275"
"26363","URF363","7026363"
"26512","NXDN-26512 Warszawa Poland","7026512"
"26810","BrandMeister Portugal","7026810"
"28299","America Ragchew","7028299"
"28634","URFHUB","7028634"
"29185","URF658","7029185"
"29314","NXDN Slovenia 29314","7029314"
"29320","NXDN Slovenia 29320","7029320"
"29999","KB8JNM","7029999"
"30444","ZONA DMR CL  NXDN PROJECT","7030444"
"30525","Florida Keys NXDN Key West","7030525"
"30639","K6HP","7030639"
"31010","Alabama Link","7031010"
"31059","vidalia net","7031059"
"31077","PAPA Chat","7031077"
"31081","Fun Machine Linked Repeater System","7031081"
"31138","KingsLand Local","7031138"
"31171","ILLINOIS LINK","7031171"
"31181","URF181","7031181"
"31182","URFIND","7031182"
"31188","URFSIN","7031188"
"31201","BYRG","7031201"
"31202","BYRG Chat and Testing","7031202"
"31226","World Wide Chat","7031226"
"31238","KZ4FOX","7031238"
"31291","Southwest Missouri","7031291"
"31313","KCWide NXDN","7031313"
"31333","URF386","7031333"
"31337","URF668","7031337"
"31340","CNJHAM","7031340"
"31377","Foothills Wave Whisperers","7031377"
"31379","Piedmont Triad Network","7031379"
"31403","RCWA","7031403"
"31426","PennLInk Group","7031426"
"31444","RI DIGITAL LINK - KA1MXL","7031444"
"31473","TN TAC System","7031473"
"31490","Utah DRN 00 Bridge","7031490"
"31491","Utah DRN 01 Bridge","7031491"
"31495","Utah DRN 05 Bridge","7031495"
"31611","XPR Pinoy Network","7031611"
"31672","Pi-Star Multi-Mode Reflector","7031672"
"31691","TriStateDMR (IL-IN-WI Multimode)","7031691"
"31701","Starfleet Amateur Radio Group - Trek Talk","7031701"
"31777","DX-LINK SYSTEM","7031777"
"31910","LMRNET","7031910"
"31947","Missouri Digital Calling Network","7031947"
"31983","DVMIS Multimode ILS (K8JTK.org)","7031983"
"32100","NXDN-GMR","7032100"
"32101","URFGMR","7032101"
"32103","CW Ops - CW Academy - CW","7032103"
"33420","Durango","7033420"
"33581","NET TALK NXDN","7033581"
"34075","URFSCP","7034075"
"34109","Oklahoma ARES","7034109"
"37500","YL3IM","7037500"
"40102","KZ NXDN Reflector","7040102"
"42021","NXDN-TEST","7042021"
"43389","Lookout Mountain Amateur Radio Community","7043389"
"43715","Kazakhstan NXDN","7043715"
"44000","Japan","7044000"
"44120","JP-OWARI","7044120"
"44155","NXDN-NAGOYA","7044155"
"45000","450IPSC2-NXDN","7045000"
"45001","DS5QDR DV HAM World","7045001"
"46008","Cross To BM_TG46008","7046008"
"46018","TG46018 Only NXDN","7046018"
"46020","Guangzhou DMR TG46020","7046020"
"46085","NXDN TO BM 46085","7046085"
"46123","TG46123 NXDN","7046123"
"46601","NXDN to DMR TG46601","7046601"
"50500","VK Calling Hub","7050500"
"50505","VK Calling Hub","7050505"
"50524","URF524","7050524"
"50525","50525 NXDN","7050525"
"50535","VKJED","7050535"
"50544","URF505","7050544"
"50561","URF561","7050561"
"50562","URF562","7050562"
"50563","URF563","7050563"
"50564","URF564","7050564"
"50600","NXDN-TEST","7050600"
"50964","LARK","7050964"
"51000","NXDN-51000 Poland","7051000"
"51500","DX8WMG","7051500"
"52032","HS3TDI","7052032"
"52149","HS3TDI","7052149"
"53035","NZ Calling","7053035"
"54321","NXDN REFLECTOR LECCE","7054321"
"55555","telecoviajero","7055555"
"56429","Wyre Forest NXDN Link","7056429"
"58734","NXDN TECH LINK","7058734"
"60000","URFEUS","7060000"
"63600","YL3IM","7063600"
"64003","ELITE NXDN","7064003"
"64701","NXDN REUNION","7064701"
"65000","World Wide","7065000"
"65100","2007 DX GRoup","7065100"
"65123","Murphy Radio Network (MRN)","7065123"
"65200","NXDN SERVER","7065200"
"65206","UBA-LGE","7065206"
"65208","NXDN-FRA","7065208"
"65209","PennLink Group","7065209"
